
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,ReferenceFrame,Time,Type,FilamentID,ID,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000019,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000020,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000021,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000022,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000023,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000024,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000025,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000026,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000027,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000028,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000029,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000030,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000031,
Filament No. Spine Segments,1,,Filament,,,,,,,,1,,,100000032,
Filament No. Spine Terminal Pts,0,,Filament,,,,,,,,1,,,100000000,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000001,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000002,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000003,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000004,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000005,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000006,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000007,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000008,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000009,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000010,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000011,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000012,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000013,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000014,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000015,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000016,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000017,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000018,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000019,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000020,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000021,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000022,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000023,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000024,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000025,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000026,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000027,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000028,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000029,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000030,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000031,
Filament No. Spine Terminal Pts,1,,Filament,,,,,,,,1,,,100000032,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000000,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000001,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000002,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000003,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000004,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000005,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000006,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000007,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000008,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000009,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000010,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000011,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000012,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000013,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000014,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000015,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000016,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000017,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000018,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000019,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000020,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000021,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000022,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000023,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000024,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000025,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000026,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000027,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000028,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000029,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000030,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000031,
Filament No. Unconnected Parts,1,,Filament,,,,,,,,1,,,100000032,
Filament Position X,20.3422,um,Filament,,Filament Position,,,,,,1,,,100000000,
Filament Position X,26.2995,um,Filament,,Filament Position,,,,,,1,,,100000001,
Filament Position X,26.927,um,Filament,,Filament Position,,,,,,1,,,100000002,
Filament Position X,26.2202,um,Filament,,Filament Position,,,,,,1,,,100000003,
Filament Position X,26.637,um,Filament,,Filament Position,,,,,,1,,,100000004,
Filament Position X,25.4772,um,Filament,,Filament Position,,,,,,1,,,100000005,
Filament Position X,26.0027,um,Filament,,Filament Position,,,,,,1,,,100000006,
Filament Position X,25.4364,um,Filament,,Filament Position,,,,,,1,,,100000007,
Filament Position X,26.7457,um,Filament,,Filament Position,,,,,,1,,,100000008,
Filament Position X,23.8553,um,Filament,,Filament Position,,,,,,1,,,100000009,
Filament Position X,24.1724,um,Filament,,Filament Position,,,,,,1,,,100000010,
Filament Position X,22.15,um,Filament,,Filament Position,,,,,,1,,,100000011,
Filament Position X,21.8528,um,Filament,,Filament Position,,,,,,1,,,100000012,
Filament Position X,21.3077,um,Filament,,Filament Position,,,,,,1,,,100000013,
Filament Position X,22.1247,um,Filament,,Filament Position,,,,,,1,,,100000014,
Filament Position X,16.3221,um,Filament,,Filament Position,,,,,,1,,,100000015,
Filament Position X,15.474,um,Filament,,Filament Position,,,,,,1,,,100000016,
Filament Position X,18.455,um,Filament,,Filament Position,,,,,,1,,,100000017,
Filament Position X,17.9748,um,Filament,,Filament Position,,,,,,1,,,100000018,
Filament Position X,22.0159,um,Filament,,Filament Position,,,,,,1,,,100000019,
Filament Position X,21.726,um,Filament,,Filament Position,,,,,,1,,,100000020,
Filament Position X,24.2449,um,Filament,,Filament Position,,,,,,1,,,100000021,
Filament Position X,23.6288,um,Filament,,Filament Position,,,,,,1,,,100000022,
Filament Position X,23.4808,um,Filament,,Filament Position,,,,,,1,,,100000023,
Filament Position X,23.0308,um,Filament,,Filament Position,,,,,,1,,,100000024,
Filament Position X,19.0186,um,Filament,,Filament Position,,,,,,1,,,100000025,
Filament Position X,19.2614,um,Filament,,Filament Position,,,,,,1,,,100000026,
Filament Position X,15.5034,um,Filament,,Filament Position,,,,,,1,,,100000027,
Filament Position X,14.5679,um,Filament,,Filament Position,,,,,,1,,,100000028,
Filament Position X,16.072,um,Filament,,Filament Position,,,,,,1,,,100000029,
Filament Position X,15.5102,um,Filament,,Filament Position,,,,,,1,,,100000030,
Filament Position X,17.413,um,Filament,,Filament Position,,,,,,1,,,100000031,
Filament Position X,18.4399,um,Filament,,Filament Position,,,,,,1,,,100000032,
Filament Position X Reference Frame,20.3422,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000000,
Filament Position X Reference Frame,26.2995,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000001,
Filament Position X Reference Frame,26.927,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000002,
Filament Position X Reference Frame,26.2202,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000003,
Filament Position X Reference Frame,26.637,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000004,
Filament Position X Reference Frame,25.4772,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000005,
Filament Position X Reference Frame,26.0027,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000006,
Filament Position X Reference Frame,25.4364,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000007,
Filament Position X Reference Frame,26.7457,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000008,
Filament Position X Reference Frame,23.8553,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000009,
Filament Position X Reference Frame,24.1724,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000010,
Filament Position X Reference Frame,22.15,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000011,
Filament Position X Reference Frame,21.8528,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000012,
Filament Position X Reference Frame,21.3077,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000013,
Filament Position X Reference Frame,22.1247,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000014,
Filament Position X Reference Frame,16.3221,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000015,
Filament Position X Reference Frame,15.474,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000016,
Filament Position X Reference Frame,18.455,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000017,
Filament Position X Reference Frame,17.9748,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000018,
Filament Position X Reference Frame,22.0159,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000019,
Filament Position X Reference Frame,21.726,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000020,
Filament Position X Reference Frame,24.2449,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000021,
Filament Position X Reference Frame,23.6288,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000022,
Filament Position X Reference Frame,23.4808,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000023,
Filament Position X Reference Frame,23.0308,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000024,
Filament Position X Reference Frame,19.0186,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000025,
Filament Position X Reference Frame,19.2614,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000026,
Filament Position X Reference Frame,15.5034,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000027,
Filament Position X Reference Frame,14.5679,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000028,
Filament Position X Reference Frame,16.072,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000029,
Filament Position X Reference Frame,15.5102,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000030,
Filament Position X Reference Frame,17.413,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000031,
Filament Position X Reference Frame,18.4399,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000032,
Filament Position Y,15.2468,um,Filament,,Filament Position,,,,,,1,,,100000000,
Filament Position Y,2.82604,um,Filament,,Filament Position,,,,,,1,,,100000001,
Filament Position Y,3.30853,um,Filament,,Filament Position,,,,,,1,,,100000002,
Filament Position Y,6.17178,um,Filament,,Filament Position,,,,,,1,,,100000003,
Filament Position Y,6.1899,um,Filament,,Filament Position,,,,,,1,,,100000004,
Filament Position Y,7.80274,um,Filament,,Filament Position,,,,,,1,,,100000005,
Filament Position Y,8.43701,um,Filament,,Filament Position,,,,,,1,,,100000006,
Filament Position Y,10.1269,um,Filament,,Filament Position,,,,,,1,,,100000007,
Filament Position Y,10.1586,um,Filament,,Filament Position,,,,,,1,,,100000008,
Filament Position Y,12.0644,um,Filament,,Filament Position,,,,,,1,,,100000009,
Filament Position Y,12.3694,um,Filament,,Filament Position,,,,,,1,,,100000010,
Filament Position Y,14.4661,um,Filament,,Filament Position,,,,,,1,,,100000011,
Filament Position Y,15.432,um,Filament,,Filament Position,,,,,,1,,,100000012,
Filament Position Y,19.1425,um,Filament,,Filament Position,,,,,,1,,,100000013,
Filament Position Y,19.8356,um,Filament,,Filament Position,,,,,,1,,,100000014,
Filament Position Y,18.1594,um,Filament,,Filament Position,,,,,,1,,,100000015,
Filament Position Y,17.6066,um,Filament,,Filament Position,,,,,,1,,,100000016,
Filament Position Y,15.6797,um,Filament,,Filament Position,,,,,,1,,,100000017,
Filament Position Y,14.6709,um,Filament,,Filament Position,,,,,,1,,,100000018,
Filament Position Y,9.77802,um,Filament,,Filament Position,,,,,,1,,,100000019,
Filament Position Y,10.0498,um,Filament,,Filament Position,,,,,,1,,,100000020,
Filament Position Y,6.22614,um,Filament,,Filament Position,,,,,,1,,,100000021,
Filament Position Y,5.86371,um,Filament,,Filament Position,,,,,,1,,,100000022,
Filament Position Y,3.90957,um,Filament,,Filament Position,,,,,,1,,,100000023,
Filament Position Y,3.52599,um,Filament,,Filament Position,,,,,,1,,,100000024,
Filament Position Y,20.6149,um,Filament,,Filament Position,,,,,,1,,,100000025,
Filament Position Y,22.119,um,Filament,,Filament Position,,,,,,1,,,100000026,
Filament Position Y,23.5665,um,Filament,,Filament Position,,,,,,1,,,100000027,
Filament Position Y,24.203,um,Filament,,Filament Position,,,,,,1,,,100000028,
Filament Position Y,21.3881,um,Filament,,Filament Position,,,,,,1,,,100000029,
Filament Position Y,21.9196,um,Filament,,Filament Position,,,,,,1,,,100000030,
Filament Position Y,26.0922,um,Filament,,Filament Position,,,,,,1,,,100000031,
Filament Position Y,25.8762,um,Filament,,Filament Position,,,,,,1,,,100000032,
Filament Position Y Reference Frame,15.2468,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000000,
Filament Position Y Reference Frame,2.82604,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000001,
Filament Position Y Reference Frame,3.30853,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000002,
Filament Position Y Reference Frame,6.17178,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000003,
Filament Position Y Reference Frame,6.1899,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000004,
Filament Position Y Reference Frame,7.80274,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000005,
Filament Position Y Reference Frame,8.43701,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000006,
Filament Position Y Reference Frame,10.1269,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000007,
Filament Position Y Reference Frame,10.1586,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000008,
Filament Position Y Reference Frame,12.0644,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000009,
Filament Position Y Reference Frame,12.3694,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000010,
Filament Position Y Reference Frame,14.4661,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000011,
Filament Position Y Reference Frame,15.432,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000012,
Filament Position Y Reference Frame,19.1425,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000013,
Filament Position Y Reference Frame,19.8356,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000014,
Filament Position Y Reference Frame,18.1594,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000015,
Filament Position Y Reference Frame,17.6066,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000016,
Filament Position Y Reference Frame,15.6797,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000017,
Filament Position Y Reference Frame,14.6709,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000018,
Filament Position Y Reference Frame,9.77802,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000019,
Filament Position Y Reference Frame,10.0498,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000020,
Filament Position Y Reference Frame,6.22614,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000021,
Filament Position Y Reference Frame,5.86371,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000022,
Filament Position Y Reference Frame,3.90957,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000023,
Filament Position Y Reference Frame,3.52599,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000024,
Filament Position Y Reference Frame,20.6149,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000025,
Filament Position Y Reference Frame,22.119,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000026,
Filament Position Y Reference Frame,23.5665,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000027,
Filament Position Y Reference Frame,24.203,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000028,
Filament Position Y Reference Frame,21.3881,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000029,
Filament Position Y Reference Frame,21.9196,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000030,
Filament Position Y Reference Frame,26.0922,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000031,
Filament Position Y Reference Frame,25.8762,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000032,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000000,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000001,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000002,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000003,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000004,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000005,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000006,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000007,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000008,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000009,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000010,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000011,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000012,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000013,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000014,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000015,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000016,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000017,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000018,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000019,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000020,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000021,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000022,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000023,
Filament Position Z,0.500003,um,Filament,,Filament Position,,,,,,1,,,100000024,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000025,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000026,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000027,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000028,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000029,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000030,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000031,
Filament Position Z,0.500002,um,Filament,,Filament Position,,,,,,1,,,100000032,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000000,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000001,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000002,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000003,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000004,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000005,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000006,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000007,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000008,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000009,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000010,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000011,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000012,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000013,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000014,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000015,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000016,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000017,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000018,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000019,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000020,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000021,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000022,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000023,
Filament Position Z Reference Frame,0.500003,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000024,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000025,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000026,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000027,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000028,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000029,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000030,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000031,
Filament Position Z Reference Frame,0.500002,um,Filament,,Filament Position Reference Frame,,,,,Reference Frame 1,1,,,100000032,
Filament Spine Area (sum),0,um^2,Filament,,,,,,,,1,,,100000000,
Filament Spine Area (sum),1.70838,um^2,Filament,,,,,,,,1,,,100000001,
Filament Spine Area (sum),0.794998,um^2,Filament,,,,,,,,1,,,100000002,
Filament Spine Area (sum),0.710805,um^2,Filament,,,,,,,,1,,,100000003,
Filament Spine Area (sum),0.628271,um^2,Filament,,,,,,,,1,,,100000004,
Filament Spine Area (sum),0.655402,um^2,Filament,,,,,,,,1,,,100000005,
Filament Spine Area (sum),0.636713,um^2,Filament,,,,,,,,1,,,100000006,
Filament Spine Area (sum),1.98947,um^2,Filament,,,,,,,,1,,,100000007,
Filament Spine Area (sum),0.722792,um^2,Filament,,,,,,,,1,,,100000008,
Filament Spine Area (sum),1.40884,um^2,Filament,,,,,,,,1,,,100000009,
Filament Spine Area (sum),0.621956,um^2,Filament,,,,,,,,1,,,100000010,
Filament Spine Area (sum),2.42306,um^2,Filament,,,,,,,,1,,,100000011,
Filament Spine Area (sum),0.642884,um^2,Filament,,,,,,,,1,,,100000012,
Filament Spine Area (sum),3.14822,um^2,Filament,,,,,,,,1,,,100000013,
Filament Spine Area (sum),0.732683,um^2,Filament,,,,,,,,1,,,100000014,
Filament Spine Area (sum),2.36244,um^2,Filament,,,,,,,,1,,,100000015,
Filament Spine Area (sum),0.654339,um^2,Filament,,,,,,,,1,,,100000016,
Filament Spine Area (sum),1.24787,um^2,Filament,,,,,,,,1,,,100000017,
Filament Spine Area (sum),0.714064,um^2,Filament,,,,,,,,1,,,100000018,
Filament Spine Area (sum),0.841536,um^2,Filament,,,,,,,,1,,,100000019,
Filament Spine Area (sum),0.763716,um^2,Filament,,,,,,,,1,,,100000020,
Filament Spine Area (sum),0.645766,um^2,Filament,,,,,,,,1,,,100000021,
Filament Spine Area (sum),0.610275,um^2,Filament,,,,,,,,1,,,100000022,
Filament Spine Area (sum),1.17957,um^2,Filament,,,,,,,,1,,,100000023,
Filament Spine Area (sum),0.713416,um^2,Filament,,,,,,,,1,,,100000024,
Filament Spine Area (sum),2.36444,um^2,Filament,,,,,,,,1,,,100000025,
Filament Spine Area (sum),0.791193,um^2,Filament,,,,,,,,1,,,100000026,
